"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"213714_at",-0.590135792317936,6.93897228092659,0,0.925104413001899,1,"213714_at"
"211968_s_at",-0.49376176624064,9.74552326014926,0,0.925437466585886,1,"211968_s_at"
"204230_s_at",-0.5751184654704,8.71455667597253,0,0.925988410576253,1,"204230_s_at"
"200640_at",-0.563191552519847,9.82917450662731,0,0.92606834220152,1,"200640_at"
"212667_at",0.551520015625933,9.40886562995239,0,0.926378232476042,1,"212667_at"
"207307_at",-0.396401983186101,5.50997012132277,0,0.926478650522896,1,"207307_at"
"218501_at",-0.631702064757103,8.29879873392153,0,0.926876058009211,1,"218501_at"
"210432_s_at",-0.603454432031703,7.94855622299156,0,0.927307983784655,1,"210432_s_at"
"221801_x_at",-0.544336060481486,6.58266247164523,0,0.928123936634879,1,"221801_x_at"
"209095_at",-0.616726360617665,7.6810016272512,0,0.928234700505553,1,"209095_at"
"218597_s_at",-0.596240813207451,7.63774619758721,0,0.928698940457945,1,"218597_s_at"
"200729_s_at",-0.527309365218262,6.96299456848197,0,0.93004922918563,1,"200729_s_at"
"205328_at",-0.641102067035699,7.79153407410505,0,0.930084486021356,1,"205328_at"
"201841_s_at",-0.332983424081851,9.03008952239766,0,0.93024761389002,1,"201841_s_at"
"206042_x_at",-0.474638226349301,7.83924791131724,0,0.930514105877251,1,"206042_x_at"
"213938_at",-0.548822303870273,7.36398322124702,0,0.930681452627626,1,"213938_at"
"202388_at",-0.566454609586627,8.09876608601997,0,0.931103711874086,1,"202388_at"
"208813_at",-0.614426656117634,7.94146744802492,0,0.931703491287626,1,"208813_at"
"205480_s_at",-0.644002391091888,9.25183120103855,0,0.932010746655389,1,"205480_s_at"
"202016_at",-0.589430240075051,7.7858001027972,0,0.932247673504635,1,"202016_at"
"209300_s_at",-0.598494753899752,7.66105833063323,0,0.932349514672456,1,"209300_s_at"
"205635_at",-0.70413573045281,8.37024122915208,0,0.933346360220755,1,"205635_at"
"202260_s_at",-0.58972468636953,10.5122740159992,0,0.933349226872421,1,"202260_s_at"
"213927_at",-0.640992660809886,6.90147812231045,0,0.933454694448936,1,"213927_at"
